tconst,titleType,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,nconst,director
tt0458072,movie,Provoked: A True Story,2006,113,"Biography,Crime,Drama",6.5,1974,nm0612730,Jag Mundhra
tt0458242,movie,Lights in the Dusk,2006,78,"Crime,Drama",6.9,6082,nm0442454,Aki Kaurismäki
tt0458339,movie,Captain America: The First Avenger,2011,124,"Action,Adventure,Sci-Fi",6.9,701063,nm0002653,Joe Johnston
tt0458352,movie,The Devil Wears Prada,2006,109,"Comedy,Drama",6.9,351718,nm0291205,David Frankel
tt0458364,movie,The Ex,2006,89,"Comedy,Romance",5.5,16463,nm0673400,Jesse Peretz
tt0458367,movie,Right at Your Door,2006,96,"Drama,Sci-Fi,Thriller",6.1,12472,nm0329755,Chris Gorak
tt0458413,movie,A Long Way Down,2014,96,"Comedy,Drama",6.4,30016,nm0154312,Pascal Chaumeil
tt0458425,movie,McLibel,2005,85,Documentary,7.2,2030,nm0516360,Ken Loach
tt0458455,movie,Pope Joan,2009,149,"Drama,Romance",6.7,8061,nm0941811,Sönke Wortmann
tt0458480,movie,Simon Says,2006,87,"Horror,Thriller",4.2,3167,nm0213100,William Dear
tt0458481,movie,Sin City: A Dame to Kill For,2014,102,"Action,Crime,Thriller",6.5,146180,nm0588340,Frank Miller
tt0458522,movie,El cantante,2006,106,"Biography,Drama,Music",5.5,4542,nm0406687,Leon Ichaso
tt0458525,movie,X-Men Origins: Wolverine,2009,107,"Action,Adventure,Sci-Fi",6.6,450506,nm0004303,Gavin Hood
tt0459072,movie,Alice,2005,102,Drama,7.4,2092,nm0554076,Marco Martins
tt0459102,movie,Import Export,2007,141,Drama,7.1,5211,nm0782430,Ulrich Seidl
tt0459242,movie,Crossing the Bridge: The Sound of Istanbul,2005,90,"Documentary,Music",7.9,5860,nm0015359,Fatih Akin
tt0459293,movie,"Gandhi, My Father",2007,136,"Biography,Drama,History",7.3,1521,nm2073234,Feroz Abbas Khan
tt0459387,movie,The Great Ecstasy of Robert Carmichael,2005,96,"Crime,Drama",4.8,1215,nm0165583,Thomas Clay
tt0459443,movie,Lies Inc.,2004,67,Sci-Fi,5.4,1163,nm1902142,César Ducasse
tt0459505,movie,Pitbull,2005,97,"Action,Crime,Drama",7,1543,nm1899656,Patryk Vega
tt0459516,movie,Pudhu Pettai,2006,168,"Action,Crime,Drama",8.4,3817,nm1421754,K. Selvaraghavan
tt0459605,movie,Eklavya: The Royal Guard,2007,105,"Action,Drama,Thriller",6.1,3025,nm0006765,Vidhu Vinod Chopra
tt0459666,movie,Three Times,2005,132,"Drama,Romance",7,5169,nm0396284,Hsiao-Hsien Hou
tt0459748,movie,Generation P,2011,112,"Comedy,Drama,Sci-Fi",6.8,3477,nm0320192,Victor Ginzburg
tt0459880,movie,Lady Chatterley,2006,168,"Drama,Romance",6.7,4194,nm0273863,Pascale Ferran
tt0459924,movie,Paragraph 78,2007,88,"Action,Sci-Fi,Thriller",4.9,1845,nm1680265,Mikhail Khleborodov
tt0460012,movie,Bastards,2006,97,"Action,Drama,War",6.1,3104,nm0040286,Aleksandr Atanesyan
tt0460394,movie,Aithe,2003,140,"Action,Adventure,Thriller",8.1,1204,nm1923369,Chandra Sekhar Yeleti
tt0460435,movie,In a Dark Place,2006,95,"Horror,Thriller",4.3,2397,nm0745488,Donato Rotunno
tt0460480,movie,Colossal Youth,2006,156,Drama,7,1368,nm0182276,Pedro Costa
tt0460485,movie,KM 31: Kilometre 31,2006,105,"Horror,Mystery,Thriller",5.3,3105,nm0144511,Rigoberto Castañeda
tt0460492,movie,The Last Train,2006,123,"Drama,War",6.6,1309,nm0005917,Joseph Vilsmaier
tt0460505,movie,The Rocket,2005,124,"Biography,Drama,Sport",7.6,4859,nm0082748,Charles Binamé
tt0460721,movie,The Big Bad Swim,2006,96,"Comedy,Romance,Sport",6.3,1392,nm1335694,Ishai Setton
tt0460732,movie,Caffeine,2006,92,Comedy,5.5,2523,nm0181836,John Cosgrove
tt0460740,movie,Cashback,2006,102,"Comedy,Drama,Romance",7.2,80859,nm1193346,Sean Ellis
tt0460745,movie,Chaos Theory,2008,87,"Comedy,Drama,Romance",6.7,30783,nm0796864,Marcos Siega
tt0460766,movie,Deep Water,2006,93,"Documentary,History,Sport",7.8,2842,nm1031790,Louise Osmond
tt0460780,movie,In the Name of the King: A Dungeon Siege Tale,2007,127,"Action,Adventure,Fantasy",3.8,43172,nm0093051,Uwe Boll
tt0460791,movie,The Fall,2006,117,"Adventure,Drama,Fantasy",7.9,103708,nm0802248,Tarsem Singh
tt0460792,movie,Fast Food Nation,2006,116,"Comedy,Drama,Romance",6.3,22870,nm0000500,Richard Linklater
tt0460810,movie,The Great Buck Howard,2008,90,"Comedy,Drama",6.4,13177,nm0003152,Sean McGinly
tt0460812,movie,Griffin & Phoenix,2006,102,"Comedy,Drama,Romance",7,7108,nm0831847,Ed Stone
tt0460829,movie,Inland Empire,2006,180,"Drama,Mystery,Thriller",6.9,51004,nm0000186,David Lynch
tt0460883,movie,Night Skies,2007,85,"Horror,Sci-Fi,Thriller",4.6,2574,nm0461865,Roy Knyrim
tt0460890,movie,The Only Living Boy in New York,2017,89,Drama,6.3,9859,nm1989536,Marc Webb
tt0460898,movie,Pervert!,2005,81,"Comedy,Horror",4.5,2266,nm1399632,Jonathan Yudis
tt0460902,movie,Played,2006,87,"Crime,Drama,Thriller",4.4,1309,nm0822119,Sean Stanek
tt0460925,movie,The Sasquatch Gang,2006,86,Comedy,6.3,4340,nm1417016,Tim Skousen
tt0460952,movie,TV: The Movie,2006,86,Comedy,3.3,1064,nm1098377,Sam Maccarone
tt0460989,movie,The Wind that Shakes the Barley,2006,127,"Drama,War",7.5,43771,nm0516360,Ken Loach
tt0461336,movie,Saving Private Perez,2011,105,"Adventure,Comedy,Western",5.9,1751,nm0351021,Beto Gómez
tt0461613,movie,Whole New Thing,2005,92,"Comedy,Drama",6.6,1233,nm0118111,Amnon Buchbinder
tt0461642,movie,7 Dwarves: The Forest Is Not Enough,2006,95,"Comedy,Fantasy",4.1,3225,nm0881372,Sven Unterwaldt Jr.
tt0461694,movie,Four Minutes,2006,112,"Drama,Music",7.4,6093,nm0470098,Chris Kraus
tt0461703,movie,Skinwalkers,2006,110,"Action,Fantasy,Horror",4.6,12705,nm0410494,James Isaac
tt0461770,movie,Enchanted,2007,107,"Animation,Comedy,Family",7,169964,nm0510674,Kevin Lima
tt0461894,movie,7 Virgins,2005,86,"Crime,Drama",6.3,1845,nm0735705,Alberto Rodríguez
tt0461936,movie,Don,2006,171,"Action,Crime,Thriller",7.2,32682,nm1027719,Farhan Akhtar
tt0461946,movie,Everything's Gone Green,2006,95,"Comedy,Crime",6.1,1956,nm0289186,Paul Fox
tt0461970,movie,Invisible Waves,2006,115,"Drama,Thriller",6.6,1560,nm0711579,Pen-Ek Ratanaruang
tt0462002,movie,N (Io e Napoleone),2006,100,"Comedy,History,War",6.3,1167,nm0899501,Paolo Virzì
tt0462023,movie,"Romulus, My Father",2007,104,"Biography,Drama",6.6,3967,nm0746896,Richard Roxburgh
tt0462160,movie,Dead Tone,2007,100,"Horror,Thriller",4.6,2728,nm1938064,Deon Taylor
tt0462193,movie,The Beast of Bray Road,2005,80,Horror,4.1,1119,nm0805635,Leigh Scott
tt0462200,movie,Black Snake Moan,2006,116,"Drama,Music",6.9,59456,nm0108132,Craig Brewer
tt0462219,movie,Camille,2008,94,"Comedy,Drama,Fantasy",6,4440,nm1166099,Gregory Mackenzie
tt0462229,movie,Code Name: The Cleaner,2007,84,"Action,Comedy,Crime",4.6,11003,nm0562645,Les Mayfield
tt0462244,movie,Daddy Day Camp,2007,89,"Comedy,Family",3.1,14971,nm0000625,Fred Savage
tt0462295,movie,Flakes,2007,84,Comedy,6,3301,nm0499724,Michael Lehmann
tt0462322,movie,Grindhouse,2007,191,"Action,Horror,Thriller",7.5,173719,nm0001675,Robert Rodriguez
tt0462335,movie,High-Rise,2015,119,"Drama,Sci-Fi",5.6,35373,nm1296554,Ben Wheatley
tt0462338,movie,The Hoax,2006,116,"Comedy,Drama",6.7,15740,nm0002120,Lasse Hallström
tt0462346,movie,How to Eat Fried Worms,2006,80,"Comedy,Family",5.3,4940,nm0231190,Bob Dolman
tt0462359,movie,Incubus,2006,84,"Horror,Mystery,Thriller",3,1994,nm0131801,Anya Camilleri
tt0462362,movie,The Insatiable,2006,103,"Comedy,Horror,Romance",5.2,1451,nm0465484,Chuck Konzelman
tt0462395,movie,Larry the Cable Guy: Health Inspector,2006,89,"Comedy,Romance",3.3,9602,nm1401857,Trent Cooper
tt0462396,movie,The Last Legion,2007,101,"Action,Adventure,War",5.4,33297,nm0498991,Doug Lefler
tt0462441,movie,Amazing Journey: The Story of The Who,2007,237,"Documentary,Music",8.2,1201,nm0189581,Paul Crowder
tt0462465,movie,Outlander,2008,115,"Action,Adventure,Fantasy",6.2,69989,nm0564586,Howard McCain
tt0462477,movie,Pierrepoint: The Last Hangman,2005,90,"Biography,Crime,Drama",7.4,4716,nm0792120,Adrian Shergold
tt0462485,movie,Poultrygeist: Night of the Chicken Dead,2006,103,"Comedy,Horror,Musical",6.2,7439,nm0442207,Lloyd Kaufman
tt0462504,movie,Rescue Dawn,2006,120,"Action,Biography,Drama",7.3,97444,nm0001348,Werner Herzog
tt0462517,movie,Haunted Forest,2007,81,Horror,3.6,1369,nm0096332,Mauro Borrelli
tt0462519,movie,School for Scoundrels,2006,100,Comedy,5.9,28362,nm0680846,Todd Phillips
tt0462538,movie,The Simpsons Movie,2007,87,"Adventure,Animation,Comedy",7.3,299513,nm0798899,David Silverman
tt0462570,movie,On Probation,2005,112,"Action,Comedy,Crime",7.6,5504,nm1167933,Damián Szifron
tt0462579,movie,The Treatment,2006,86,"Comedy,Drama,Romance",5.8,1017,nm0748589,Oren Rudavsky
tt0462590,movie,Step Up,2006,104,"Crime,Drama,Music",6.5,106917,nm0281945,Anne Fletcher
tt0462667,movie,The Tiger Brigades,2006,125,"Action,Adventure,Crime",5.8,1488,nm0180462,Jérôme Cornuau
tt0462684,movie,Blood Rain,2005,119,"Mystery,Thriller",6.7,1022,nm0453413,Dae-seung Kim
tt0462703,movie,Antarctic Journal,2005,115,"Horror,Mystery,Thriller",6,1715,nm1941507,Pil-sung Yim
tt0463027,movie,Descent,2007,104,"Drama,Thriller",4.8,2860,nm1181799,Talia Lugacy
tt0463034,movie,"You, Me and Dupree",2006,110,"Comedy,Romance",5.6,76259,nm0751577,Anthony Russo
tt0463345,movie,La mujer de mi hermano,2005,89,Drama,6.1,3002,nm1662693,Ricardo de Montreuil
tt0463381,movie,Transylvania,2006,103,Drama,6.8,2332,nm0309697,Tony Gatlif
tt0463392,movie,Zombie Nation,2004,81,Horror,2,7854,nm0518579,Ulli Lommel
tt0463486,movie,Comedy of Power,2006,110,Drama,6.3,2666,nm0001031,Claude Chabrol
tt0463854,movie,28 Weeks Later,2007,100,"Drama,Horror,Sci-Fi",7,248278,nm0294379,Juan Carlos Fresnadillo
tt0463872,movie,Asterix at the Olympic Games,2008,116,"Adventure,Comedy,Family",5.2,26169,nm0004689,Frédéric Forestier
tt0463903,movie,Be with Me,2005,93,"Drama,Romance",7,1587,nm0451799,Eric Khoo
tt0463935,movie,Candy Stripers,2006,89,"Horror,Sci-Fi",3.2,1214,nm1071058,Kate Robbins
tt0463960,movie,The Devil You Know,2013,76,"Mystery,Thriller",3.3,1525,nm1950060,James Oakley
tt0463985,movie,The Fast and the Furious: Tokyo Drift,2006,104,"Action,Crime,Thriller",6,228291,nm0510912,Justin Lin
tt0463998,movie,Freedom Writers,2007,123,"Biography,Crime,Drama",7.5,63720,nm0481418,Richard LaGravenese
tt0464029,movie,Grbavica: The Land of My Dreams,2006,90,Drama,7.2,5698,nm1120092,Jasmila Zbanic
tt0464038,movie,Hana,2006,127,"Comedy,Drama",6.7,1374,nm0466153,Hirokazu Koreeda
tt0464041,movie,The Lazarus Project,2008,100,"Drama,Mystery,Thriller",6.1,16563,nm1726457,John Glenn
tt0464049,movie,The History Boys,2006,109,"Comedy,Drama,Romance",6.8,19723,nm0405336,Nicholas Hytner
tt0464061,movie,I'm Reed Fish,2006,93,"Comedy,Drama,Romance",5.7,4154,nm1027685,Zackary Adler
tt0464071,movie,Sillunu Oru Kadhal,2006,175,"Drama,Romance",6.9,2199,nm1953633,N. Krishna
tt0464105,movie,Man Push Cart,2005,87,Drama,7,2883,nm1023919,Ramin Bahrani
tt0464106,movie,Manmadhan,2004,165,"Crime,Mystery,Romance",7.1,1189,nm1953635,A.J. Murugan
tt0464141,movie,The Orphanage,2007,105,"Drama,Horror,Mystery",7.4,141523,nm1291105,J.A. Bayona
tt0464154,movie,Piranha 3D,2010,88,"Comedy,Horror",5.4,83431,nm0014960,Alexandre Aja
tt0464160,movie,Chup Chup Ke,2006,164,"Comedy,Drama,Romance",6.7,7285,nm0698184,Priyadarshan
tt0464162,movie,Komaram Puli,2010,163,"Action,Crime,Thriller",3.5,1446,nm0754184,S.J. Suryah
tt0464184,movie,Samoan Wedding,2006,97,"Comedy,Romance",6.4,1469,nm1503386,Chris Graham
tt0464196,movie,Severance,2006,96,"Comedy,Horror,Thriller",6.5,35554,nm1247462,Christopher Smith
tt0464320,movie,Wild Seven,2006,98,"Crime,Drama",3.9,3529,nm1759031,James M. Hausler
tt0464636,movie,Innocent Steps,2005,110,"Comedy,Drama,Music",6.9,1406,nm1409123,Young-hoon Park
tt0464828,movie,Quand j'étais chanteur,2006,112,"Drama,Music,Romance",6.4,2082,nm0316306,Xavier Giannoli
tt0464907,movie,The Boys & Girls Guide to Getting Down,2006,92,Comedy,6.6,2383,nm1957032,Paul Sapiano
tt0464913,movie,"OSS 117: Cairo, Nest of Spies",2006,99,"Action,Adventure,Comedy",7.1,17363,nm0371890,Michel Hazanavicius
tt0464955,movie,White Palms,2006,97,"Drama,Sport",7.5,1563,nm0354451,Szabolcs Hajdu
tt0465142,movie,American Dreamz,2006,107,"Comedy,Music",5.4,23895,nm0919369,Paul Weitz
tt0465188,movie,Golden Door,2006,118,"Drama,History,Romance",6.9,4595,nm0187740,Emanuele Crialese
tt0465203,movie,Them,2006,77,"Horror,Thriller",6.4,28086,nm1219963,David Moreau
tt0465234,movie,National Treasure: Book of Secrets,2007,124,"Action,Adventure,Mystery",6.5,210940,nm0005509,Jon Turteltaub
tt0465375,movie,After Sex,2007,77,"Comedy,Drama,Romance",5.5,7781,nm1956898,Eric Amadio
tt0465430,movie,The Cottage,2008,92,"Comedy,Crime,Horror",6.1,11568,nm1440314,Paul Andrew Williams
tt0465436,movie,December Boys,2007,105,"Drama,Romance",6.5,11436,nm0362738,Rod Hardy
tt0465494,movie,Hitman,2007,100,"Action,Crime,Thriller",6.3,156568,nm1164755,Xavier Gens
tt0465502,movie,Igor,2008,87,"Animation,Comedy,Family",6,21783,nm1902232,Tony Leondis
tt0465538,movie,Michael Clayton,2007,119,"Crime,Drama,Mystery",7.2,151365,nm0006904,Tony Gilroy
tt0465551,movie,Notes on a Scandal,2006,92,"Crime,Drama,Romance",7.4,72459,nm0264236,Richard Eyre
tt0465580,movie,Push,2009,111,"Action,Sci-Fi,Thriller",6.1,102573,nm0006476,Paul McGuigan
